flowrate,pv,pv_minus_mode
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0.06,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.578467,-0.002417
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
0,0.579272,-0.001612
